"MeanLength","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
19.5,0,0,0,0.00402541425587792,0,0,0,0.00402541425587792,0.00402541425587792,0,0,0,0,0,0
20.5,0,0,0,0.00472943814842226,0,0.00472943814842226,0,0.00472943814842226,0.00472943814842226,0.00472943814842226,0.00472943814842226,0,0,0,0
21.5,0.00551409118712571,0.00551409118712571,0.00551409118712571,0.00551409118712571,0.00551409118712571,0.00551409118712571,0,0.00551409118712571,0.00551409118712571,0.00551409118712571,0.00551409118712571,0,0,0,0.00551409118712571
22.5,0.00638420860132036,0.00638420860132036,0.00638420860132036,0.00638420860132036,0.00638420860132036,0.00638420860132036,0.00638420860132036,0.00638420860132036,0.00638420860132036,0.00638420860132036,0,0.00638420860132036,0.00638420860132036,0,0.00638420860132036
23.5,0.00734467604052318,0.00734467604052318,0.00734467604052318,0.00734467604052318,0.00734467604052318,0.00734467604052318,0.00734467604052318,0.00734467604052318,0.00734467604052318,0.00734467604052318,0,0.00734467604052318,0.00734467604052318,0.00734467604052318,0.00734467604052318
24.5,0.00840042782213669,0.00840042782213669,0.00840042782213669,0.00840042782213669,0.00840042782213669,0.00840042782213669,0.00840042782213669,0.00840042782213669,0.00840042782213669,0.00840042782213669,0.00840042782213669,0.00840042782213669,0.00840042782213669,0,0.00840042782213669
25.5,0.00955644531254091,0.00955644531254091,0.00955644531254091,0.00955644531254091,0.00955644531254091,0.00955644531254091,0.00955644531254091,0.00955644531254091,0.00955644531254091,0.00955644531254091,0.00955644531254091,0.00955644531254091,0.00955644531254091,0.00955644531254091,0.00955644531254091
26.5,0.0108177554263508,0.0108177554263508,0.0108177554263508,0.0108177554263508,0.0108177554263508,0.0108177554263508,0.0108177554263508,0.0108177554263508,0.0108177554263508,0.0108177554263508,0.0108177554263508,0.0108177554263508,0.0108177554263508,0.0108177554263508,0.0108177554263508
27.5,0.0121894292308859,0.0121894292308859,0.0121894292308859,0.0121894292308859,0.0121894292308859,0.0121894292308859,0.0121894292308859,0.0121894292308859,0.0121894292308859,0.0121894292308859,0.0121894292308859,0.0121894292308859,0.0121894292308859,0.0121894292308859,0.0121894292308859
28.5,0.0136765806447565,0.0136765806447565,0.0136765806447565,0.0136765806447565,0.0136765806447565,0.0136765806447565,0.0136765806447565,0.0136765806447565,0.0136765806447565,0.0136765806447565,0.0136765806447565,0.0136765806447565,0.0136765806447565,0.0136765806447565,0.0136765806447565
29.5,0.0152843652210063,0.0152843652210063,0.0152843652210063,0.0152843652210063,0.0152843652210063,0.0152843652210063,0.0152843652210063,0.0152843652210063,0.0152843652210063,0.0152843652210063,0.0152843652210063,0.0152843652210063,0.0152843652210063,0.0152843652210063,0.0152843652210063
30.5,0.0170179790065252,0.0170179790065252,0.0170179790065252,0.0170179790065252,0.0170179790065252,0.0170179790065252,0.0170179790065252,0.0170179790065252,0.0170179790065252,0.0170179790065252,0.0170179790065252,0.0170179790065252,0.0170179790065252,0.0170179790065252,0.0170179790065252
31.5,0.0188826574705125,0.0188826574705125,0.0188826574705125,0.0188826574705125,0.0188826574705125,0.0188826574705125,0.0188826574705125,0.0188826574705125,0.0188826574705125,0.0188826574705125,0.0188826574705125,0.0188826574705125,0.0188826574705125,0.0188826574705125,0.0188826574705125
32.5,0.0208836744956719,0.0208836744956719,0.0208836744956719,0.0208836744956719,0.0208836744956719,0.0208836744956719,0.0208836744956719,0.0208836744956719,0.0208836744956719,0.0208836744956719,0.0208836744956719,0.0208836744956719,0.0208836744956719,0.0208836744956719,0.0208836744956719
33.5,0.0230263414265791,0.0230263414265791,0.0230263414265791,0.0230263414265791,0.0230263414265791,0.0230263414265791,0.0230263414265791,0.0230263414265791,0.0230263414265791,0.0230263414265791,0.0230263414265791,0.0230263414265791,0.0230263414265791,0.0230263414265791,0.0230263414265791
34.5,0.0253160061703144,0.0253160061703144,0.0253160061703144,0.0253160061703144,0.0253160061703144,0.0253160061703144,0.0253160061703144,0.0253160061703144,0.0253160061703144,0.0253160061703144,0.0253160061703144,0.0253160061703144,0.0253160061703144,0.0253160061703144,0.0253160061703144
35.5,0.0277580523450069,0.0277580523450069,0.0277580523450069,0.0277580523450069,0.0277580523450069,0.0277580523450069,0.0277580523450069,0.0277580523450069,0.0277580523450069,0.0277580523450069,0.0277580523450069,0.0277580523450069,0.0277580523450069,0.0277580523450069,0.0277580523450069
36.5,0.0303578984724171,0.0303578984724171,0.0303578984724171,0.0303578984724171,0.0303578984724171,0.0303578984724171,0.0303578984724171,0.0303578984724171,0.0303578984724171,0.0303578984724171,0.0303578984724171,0.0303578984724171,0.0303578984724171,0.0303578984724171,0.0303578984724171
37.5,0.0331209972110972,0.0331209972110972,0.0331209972110972,0.0331209972110972,0.0331209972110972,0.0331209972110972,0.0331209972110972,0.0331209972110972,0.0331209972110972,0.0331209972110972,0.0331209972110972,0.0331209972110972,0.0331209972110972,0.0331209972110972,0.0331209972110972
38.5,0.036052834627031,0.036052834627031,0.036052834627031,0.036052834627031,0.036052834627031,0.036052834627031,0.036052834627031,0.036052834627031,0.036052834627031,0.036052834627031,0.036052834627031,0.036052834627031,0.036052834627031,0.036052834627031,0.036052834627031
39.5,0.0391589294989646,0.0391589294989646,0.0391589294989646,0.0391589294989646,0.0391589294989646,0.0391589294989646,0.0391589294989646,0,0.0391589294989646,0.0391589294989646,0.0391589294989646,0.0391589294989646,0.0391589294989646,0.0391589294989646,0.0391589294989646
40.5,0.0424448326559173,0.0424448326559173,0.0424448326559173,0.0424448326559173,0.0424448326559173,0.0424448326559173,0.0424448326559173,0.0424448326559173,0.0424448326559173,0.0424448326559173,0.0424448326559173,0.0424448326559173,0.0424448326559173,0.0424448326559173,0.0424448326559173
41.5,0.0459161263446015,0.0459161263446015,0.0459161263446015,0.0459161263446015,0.0459161263446015,0.0459161263446015,0.0459161263446015,0.0459161263446015,0.0459161263446015,0.0459161263446015,0.0459161263446015,0.0459161263446015,0.0459161263446015,0.0459161263446015,0.0459161263446015
42.5,0.049578423624693,0.049578423624693,0.049578423624693,0.049578423624693,0.049578423624693,0.049578423624693,0.049578423624693,0.049578423624693,0.049578423624693,0.049578423624693,0.049578423624693,0.049578423624693,0.049578423624693,0.049578423624693,0.049578423624693
43.5,0.0534373677900817,0.0534373677900817,0.0534373677900817,0.0534373677900817,0.0534373677900817,0.0534373677900817,0.0534373677900817,0.0534373677900817,0.0534373677900817,0.0534373677900817,0.0534373677900817,0.0534373677900817,0.0534373677900817,0.0534373677900817,0.0534373677900817
44.5,0.0574986318144003,0.0574986318144003,0.0574986318144003,0.0574986318144003,0.0574986318144003,0.0574986318144003,0.0574986318144003,0.0574986318144003,0.0574986318144003,0.0574986318144003,0.0574986318144003,0.0574986318144003,0.0574986318144003,0,0.0574986318144003
45.5,0.061767917819273,0.061767917819273,0.061767917819273,0.061767917819273,0.061767917819273,0.061767917819273,0.061767917819273,0.061767917819273,0.061767917819273,0.061767917819273,0.061767917819273,0.061767917819273,0.061767917819273,0.061767917819273,0.061767917819273
46.5,0.0662509565638659,0.0662509565638659,0.0662509565638659,0.0662509565638659,0.0662509565638659,0.0662509565638659,0.0662509565638659,0.0662509565638659,0.0662509565638659,0.0662509565638659,0.0662509565638659,0.0662509565638659,0.0662509565638659,0.0662509565638659,0.0662509565638659
47.5,0.0709535069544311,0.0709535069544311,0.0709535069544311,0.0709535069544311,0.0709535069544311,0.0709535069544311,0.0709535069544311,0.0709535069544311,0.0709535069544311,0.0709535069544311,0.0709535069544311,0.0709535069544311,0.0709535069544311,0.0709535069544311,0.0709535069544311
48.5,0.0758813555726498,0.0758813555726498,0.0758813555726498,0.0758813555726498,0.0758813555726498,0.0758813555726498,0.0758813555726498,0.0758813555726498,0.0758813555726498,0.0758813555726498,0.0758813555726498,0.0758813555726498,0.0758813555726498,0.0758813555726498,0.0758813555726498
49.5,0.0810403162216688,0.0810403162216688,0.0810403162216688,0.0810403162216688,0.0810403162216688,0.0810403162216688,0.0810403162216688,0.0810403162216688,0,0.0810403162216688,0.0810403162216688,0.0810403162216688,0.0810403162216688,0.0810403162216688,0.0810403162216688
50.5,0.0864362294888179,0.0864362294888179,0.0864362294888179,0.0864362294888179,0.0864362294888179,0,0.0864362294888179,0.0864362294888179,0.0864362294888179,0.0864362294888179,0.0864362294888179,0.0864362294888179,0.0864362294888179,0.0864362294888179,0.0864362294888179
51.5,0.0920749623240679,0.0920749623240679,0.0920749623240679,0.0920749623240679,0.0920749623240679,0.0920749623240679,0.0920749623240679,0.0920749623240679,0.0920749623240679,0.0920749623240679,0.0920749623240679,0.0920749623240679,0.0920749623240679,0.0920749623240679,0.0920749623240679
52.5,0.0979624076333602,0.0979624076333602,0.0979624076333602,0.0979624076333602,0.0979624076333602,0.0979624076333602,0.0979624076333602,0.0979624076333602,0.0979624076333602,0.0979624076333602,0.0979624076333602,0,0.0979624076333602,0.0979624076333602,0.0979624076333602
53.5,0.104104483886006,0.104104483886006,0.104104483886006,0.104104483886006,0.104104483886006,0.104104483886006,0.104104483886006,0.104104483886006,0.104104483886006,0.104104483886006,0.104104483886006,0.104104483886006,0.104104483886006,0.104104483886006,0.104104483886006
54.5,0.110507134735406,0.110507134735406,0.110507134735406,0.110507134735406,0.110507134735406,0.110507134735406,0.110507134735406,0.110507134735406,0.110507134735406,0.110507134735406,0.110507134735406,0.110507134735406,0.110507134735406,0.110507134735406,0.110507134735406
55.5,0.117176328652406,0.117176328652406,0.117176328652406,0.117176328652406,0.117176328652406,0.117176328652406,0.117176328652406,0.117176328652406,0.117176328652406,0.117176328652406,0.117176328652406,0.117176328652406,0.117176328652406,0.117176328652406,0.117176328652406
56.5,0.124118058570626,0.124118058570626,0.124118058570626,0.124118058570626,0.124118058570626,0.124118058570626,0.124118058570626,0.124118058570626,0.124118058570626,0.124118058570626,0.124118058570626,0.124118058570626,0.124118058570626,0.124118058570626,0.124118058570626
57.5,0.131338341543177,0.131338341543177,0.131338341543177,0.131338341543177,0.131338341543177,0.131338341543177,0.131338341543177,0.131338341543177,0.131338341543177,0.131338341543177,0.131338341543177,0.131338341543177,0.131338341543177,0.131338341543177,0.131338341543177
58.5,0.138843218410207,0.138843218410207,0.138843218410207,0.138843218410207,0.138843218410207,0.138843218410207,0.138843218410207,0.138843218410207,0.138843218410207,0.138843218410207,0.138843218410207,0.138843218410207,0.138843218410207,0.138843218410207,0.138843218410207
