"MeanLength","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
35.5,87.6336732,181.5860438,267.73097708,271.6732128,347.096857330397,313.740665871502,193.85392804881,252.15654127008,121.054021976739,75.9861077116765,83.090233134232,33.9983306760355,353.440024337917,155.297932423873,143.5214225
36.5,160.4857616,178.9497289,262.78630772,195.1792319,223.817208234179,247.690060199326,167.70814572653,256.302059649964,82.7025224105544,58.9171386210378,77.3366360246913,38.8109208953854,246.059861331117,190.885424869082,119.4605718
37.5,152.9282945,186.4508087,246.03505005,231.7445882,166.602593699527,275.763980989457,171.960618469981,223.518902218437,108.686904155074,56.8871739828912,78.1400530067914,66.8905893417958,209.537919760668,144.95468093235,108.4465167
38.5,88.13346,112.9347108,253.56990744,195.936428,147.350555306308,213.072992537589,163.807793163488,265.031167144765,73.264393521766,57.6073161291012,125.137604977266,73.9775920392024,205.78334965817,216.178457797442,143.5270015
39.5,80.2712109,122.1526059,231.62390156,172.9150387,92.9204283228985,165.247817344829,99.8613915322,0,75.3557743122134,61.1652240582887,71.2154692450092,38.5446123688441,125.158456696047,94.5036361779551,128.9434894
40.5,77.0005834,180.2665521,262.67229799,213.939373,165.361898043149,142.881863369354,99.7149416534491,187.61273044854,77.3405636067516,62.5863994029648,84.0837348335758,43.8127300029348,111.171034289048,162.421891833037,159.610357
41.5,77.8569675,142.4233215,167.12934846,163.4612202,107.925941920896,121.583165337577,125.472577110919,163.202021544098,102.290957333925,53.1535630497431,55.1447327977305,51.0636264116762,110.190200387458,112.676295806132,89.7732824
42.5,84.6582163,212.0907827,164.5278086,165.4585174,176.830158916508,143.712771932745,189.759911564844,197.875253668578,128.250664437069,104.909736725448,75.270342990707,71.3690631831212,135.827889851666,171.218861263803,128.9151486
43.5,45.2681359,180.6985808,174.43796606,170.1946214,113.092374884707,111.121640726105,94.785069176234,82.0439599902278,76.4317642693453,37.5636167479618,51.4112801776081,45.377305640979,77.5330615163937,63.5625307934466,57.7594745
44.5,82.8260805,173.8137333,125.15550817,119.9912765,122.35346535805,165.647268626812,144.09707093975,89.8599526643186,60.6379621104845,50.9352989352176,65.0105092462057,42.1259177895094,82.8249872509558,0,103.7161359
45.5,58.5678034,134.6864026,115.13799769,103.2005129,131.095069884654,132.284054773715,95.7358669972765,82.9725920201571,60.4203765337689,25.2731056083694,38.8703035070006,19.9426637169586,51.1064733013697,42.4905335246002,59.2917962
46.5,102.8074466,125.5092548,107.52731213,75.6842831,102.660380575677,110.1782048921,118.218469744797,71.4747404967313,37.7123472687959,24.7374882312377,26.2765928750231,14.9893406963866,44.2959002070132,81.3992465884137,59.3875388
47.5,125.0105642,105.9468099,108.09493755,75.9945212,97.3956610243071,106.424537047084,60.6917760880284,59.8449028732187,48.3595200564827,25.4090262725017,43.3378543691599,17.4479137645136,45.8952392542385,89.1136265770089,82.7248759
