"MeanLength","X2012","X2013","X2014","X2015"
540,1374.82174736605,1393.54401798647,1413.11317209425,1357.87245191525
550,1495.54694443375,1442.43204255238,1496.87133043889,1473.00156710023
560,1564.45308345723,1505.3684058042,1553.37446513203,1503.41150317592
570,1738.96552415603,1639.75736996681,1636.77244872004,1563.88256100614
580,1784.35041225917,1703.66357822108,1753.51319177517,1706.46059376378
590,1940.64970276039,1777.51602761559,1825.50740460531,1728.58190785867
600,1893.58497250886,1890.50158375627,1913.17655104324,1886.98870937524
610,1988.78545631736,1984.88357246719,1964.94255679908,1946.41279384413
620,2201.91592779774,2183.58625880266,2095.90525352031,2024.12701189669
630,2336.56454773624,2328.94857871278,2269.26367250473,2175.51701201835
640,2409.4231681114,2331.12762731284,2386.77612302245,2297.29300046138
650,2419.45401195569,2460.50938787044,2531.72416797719,2365.16937577016
660,2562.76278008982,2567.7321128607,2520.37240678488,2503.88586872775
670,2874.06532603942,2816.62165449485,2879.05315945784,2682.22600617155
680,3019.40878453011,2890.34787501478,2790.75144695424,2758.54400530137
690,3296.28139603585,2946.07603083188,2962.41195880494,2886.53606341659
700,3092.78461672026,3156.04402731293,3082.26299740694,3021.94977775174
710,3514.84516590247,3047.29125757665,3124.03346451786,3214.7825806314
720,3647.8983604462,3393.9617552318,3457.18662493335,3310.57851373628
730,3376.7417671868,3654.45109412028,3520.62048064938,3428.9901229734
740,3179.25194227869,3655.53470189136,3589.94100879615,3564.3734154039
750,4363.87052844888,3538.22470638723,3955.9625517562,3810.75262141046
760,4018.26245597826,3771.04388369281,3867.61172009881,4076.92554178426
770,4127.67082574624,4715.24050147533,4114.72136559821,4106.80994813022
780,4380.15022935247,4300.40982381997,4234.32570990095,4242.77692457679
790,4396.14126946371,4789.34664568577,4469.87035507341,4398.86560671356
800,5363.30482821225,4590.21227894566,4851.30048411896,4678.46245236042
810,5315.76800723043,4780.27393147639,4798.21487274013,4878.68835525561
820,5018.93878405856,4770.08754213516,5021.02107359844,5034.59564401176
830,5178.86018541634,4737.00460600927,5305.28731672591,5470.59671802636
840,5709.19,5227.20556800225,5679.73804305376,5320.73975383766
850,6006.41871254591,5153.50608037471,5306.25316532654,5717.45260508607
860,NA,4904.73015504898,5760.55046690513,5753.92479321264
870,5888.07514821088,6212.46704946996,5457.07464691585,6357.051965193
880,7030,6353.82332025842,5889.65497955677,6111.84688691498
890,6370.18,6455.02119824196,6001.9412329491,6315.49739027243
900,NA,7017.58481154103,5840.39459593223,6701.22227052401
910,7300,6637.08999315303,6799.90348367029,6834.78788741607
920,NA,7032.48443583444,6860.82948408266,6673.8979691653
930,7841.51,7871.06518397015,7440.6917458976,7138.21389762876
940,10800,7780.59342733189,7219.90948758644,8421.7828082282
950,NA,8093.65675278303,6290.38429690436,6960.95916833552
960,8225,7583.81535153328,7781.71845302607,7076.66764173255
970,NA,8619.27946612466,7518.26339763569,7953.54531693408
